año year
básico basic
igual same
duro hard
profundo deep
final last
municipal municipal
inmediato immediate
junto together
argentino Argentinean
peor worse
francés French
corto short
oscuro dark
estadounidense American
cercano near
regional regional
feliz happy
positivo positive
máximo maximum
serio serious
laboral labor
imposible impossible
simple simple
pobre poor
reciente recent
extraño strange
ambiental environmental
específico specific
normal normal
determinado determined
moderno modern
urbano urban
mínimo minimum
musical musical
deportivo sporty
federal federal
frío cold
legal legal
verde green
interesante interesting
artístico artistic
judicial judicial
particular particular
colombiano Colombian
previo previous
cubano Cuban
pleno full
eléctrico electric
tecnológico technology
abierto open
global global
infantil childish
absoluto absolute
definitivo definitive
complejo complex
estatal statewide
rico rich
raro rare
significativo significant
sencillo simple
perfecto perfect
permanente permanent
religioso religious
activo active
famoso famous
numeroso numerous
rural rural
tranquilo quiet
extranjero foreign
democrático democratic
azul blue
femenino female
escaso scarce
intenso intense
puro pure
unido joined
universitario academic
original original
exterior outside
seco dry
digital digital
alemán German
literario literary
independiente independent
armado armed
sanitario sanitary
electrónico electronic
indígena indigenous
concreto concrete
fiscal fiscal
clásico classic
evidente clear
individual individual
colectivo collective
negativo negative
productivo productive
doble double
anual annual
efectivo effective
habitual usual
inicial initial
débil weak
ser be
estar be
tener have
hacer make
poder be able to
decir say
haber have
ir go
dar give
ver see
saber know
pasar pass by
deber must
querer want
llegar arrive
dejar leave
llevar take
encontrar find
seguir follow
poner put
quedar stay
parecer seem
hablar speak
pensar think
volver back to
conocer know
salir exit
realizar make
tomar take
tratar try
contar count
llamar call
venir come
mirar see
presentar present
permitir allow
esperar wait
sentir feel
vivir live
buscar search
creer believe
crear create
perder lose
existir exist
considerar consider
abrir open
trabajar work
recibir receive
mantener maintain
explicar explain
lograr achieve
empezar start
recordar remember
comenzar start
pedir ask for
preguntar ask
producir produce
convertir convert
entrar enter
mostrar show
señalar point out
escribir write
utilizar use
entender understand
terminar finish
ganar win
incluir include
morir die
asegurar secure
ocurrir occur
ofrecer offer
jugar play
gustar like
escuchar listen to
sentar sit
cambiar change
aparecer appear
acabar end
decidir decide
resultar result
caer fall
desarrollar develop
necesitar need
sacar take out
establecer establish
conseguir get
indicar indicate
formar form
reconocer recognize
dirigir address
servir serve
alcanzar reach
intentar try
cumplir meet
leer read
obtener get
ayudar help
usar use
observar see
responder answer
afirmar claim
evitar avoid
suponer assume
afectar affect
generar generate
continuar continue
cerrar close
pagar pay
acercar bring over
levantar raise
participar participate
representar represent
tocar touch
informar inform
destacar highlight
iniciar start
dedicar dedicate
oír hear
acompañar accompany
referir refer to
sufrir suffer
nacer birth
comer eat
bajar download
suceder succeed
dormir sleep
preparar prepare
agregar add
correr run
subir go up
publicar publish
traer bring
anunciar announce
descubrir discover
construir build
detener stop
aceptar accept
meter tuck in
ocupar occupy
demostrar show
proponer propose
estudiar study
comprar buy
expresar express
olvidar forget
aumentar increase
definir define
regresar return
añadir add
mover move
entregar deliver
sostener hold
reducir reduce
aprender learn
provocar provoke
mejorar improve
unir join
constituir constitute
compartir share
enfrentar confront
imaginar imagine
crecer grow
comprender understand
apoyar support
comentar comment
vender sell
faltar skip
aplicar apply
colocar place
cubrir cover
repetir repeat
disponer arrange
obligar force
celebrar celebrate
echar cast out of
relacionar link
marcar mark
desear wish
significar mean
caminar walk
superar go beyond
organizar organize
registrar register
andar walk
identificar identify
elegir choose
abandonar leave
soler be used to
plantear raise
ubicar locate
requerir request
partir start
reunir gather
actuar act
lanzar launch
importar import
analizar analyze
mencionar mention
sumar add
pretender pretend
enviar send
declarar declare
manifestar manifest
atender attend
basar base
recuperar retrieve
aprovechar take advantage of
asumir assume
desaparecer disappear
funcionar work
permanecer stay
preocupar concern
preferir prefer
confirmar confirm
advertir warn
imponer impose
integrar integrate
recoger pick up
parar stop
proteger protect
depender depend
negar deny
resolver solve
surgir arise
corresponder correspond
determinar determine
concluir conclude
visitar visit
exigir demand
contener contain
aprobar approve
romper break
viajar travel
quitar remove
interesar interest
defender defend
avanzar advance
prever foresee
implicar involve
apuntar point out
invitar invite
causar cause
vestir dress
controlar check
adquirir purchase
incorporar incorporate
guardar save
insistir insist
conducir drive
acordar agree
contestar answer
tirar throw away
despertar wake up
reír laugh
sorprender surprise
llorar cry
situar locate
garantizar guarantee
separar separate
impedir prevent
gritar shout
costar cost
cruzar cross
disfrutar enjoy
cantar sing
citar quote
sonreír smile
extender extend
poseer own
contribuir contribute
exponer exhibit
instalar install
notar note
sonar sound
convencer convince
mandar send
asociar link
aportar provide
acudir go to
asistir attend
firmar sign
pertenecer belong to
solicitar request
enseñar show
cortar cut
recorrer tour
fijar post
promover promote
describir describe
revelar reveal
retirar withdraw
contemplar see
elaborar elaborate
ordenar order
hallar find
reflejar reflect
limitar limit
rodear go around
transformar transform
interpretar interpret
llenar fill out
consistir consist of
cuidar care
someter submit
avisar warn
emplear use
ADVERBS
WORDS 820 – 941
no not
más more
apenas hardly
también also
ya already
muy very
básicamente basically
solo only
después later
ahora now
así thus
bien well
siempre always
antes before
tan so
cómo how
sí yes
hoy today
entonces then
luego then
además in addition
nunca never
casi almost
poco sparsely
aquí here
menos least
tanto such
sin embargo however
mucho a lot
aún still
dentro within
ayer yesterday
allí there
incluso inclusive
ahí there
ruidosamente loudly
todavía still
hasta even
tampoco nor
cerca near
allá there
apenas barely
a lo mejor perhaps
cuidadosamente carefully
pronto soon
normalmente normally
fuera out
atrás behind
encima above
tarde afternoon
finalmente finally
especialmente especially
tal vez maybe
lejos far
demasiado too
quizá maybe
mal badly
perfectamente perfectly
bastante quite a lot
diariamente daily
adelante forward
detrás back
igual likewise
ni siquiera not even
primero first
actualmente currently
así como as well as
precisamente precisely
arriba up
realmente actually
jamás never
quizás maybe
recién just
asimismo also
no obstante however
difícilmente with difficulty
alrededor around
solamente only
aun even
por supuesto of course
delante in front
abajo below
para nada not at all
fácilmente easily
simplemente simply
directamente directly
lentamente slowly
debajo under
por tanto therefore
principalmente mainly
por lo tanto therefore
totalmente totally
a menudo often
por lo menos at least
acá here
probablemente probably
prácticamente practically
seguramente surely
frecuentemente frequently
aproximadamente approximately
completamente completely
posteriormente later
nuevamente again
por fin finally
igualmente equally
jamás never
acaso perhaps
justo just
recientemente recently
por favor kindly
rápidamente quickly
únicamente only
afuera outside
respectivamente respectively
inmediatamente immediately
exactamente exactly
claramente clearly
generalmente generally
perfectamente perfectly
enseguida right away
temprano early
adentro inside
de from
en at
a to
con with
por by
para for
sobre about
entre between
sin without
desde from
hasta to
durante during
hacia to
ante before
contra against
según according to
tras after
bajo under
a través de through
a partir de as of
frente a in front of
además de in addition to
a pesar de in spite of
mediante through
junto a together with
debido a due to
gracias a thanks to
pese a despite
de acuerdo con in accordance with
en cuanto a in regard to
junto con together with
acerca de about
respecto a with respect to
en torno a around
en lugar de instead of
de acuerdo a according to
